,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
52,22011,2544,0021100153,"JAN 11, 2012",MIA @ LAC,L,42,7,19,0.368,0,1,0.0,9,17,0.529,2,11,13,7,2,0,6,5,23,-9,0,2011-12,Regular
53,22011,2544,0021100142,"JAN 10, 2012",MIA @ GSW,L,43,10,19,0.526,0,2,0.0,6,8,0.75,1,10,11,7,2,0,5,1,26,-5,0,2011-12,Regular
54,22011,2544,0021100112,"JAN 07, 2012",MIA @ NJN,W,37,11,17,0.647,0,1,0.0,10,12,0.833,0,7,7,9,2,1,8,2,32,7,0,2011-12,Regular
55,22011,2544,0021100086,"JAN 04, 2012",MIA vs. IND,W,38,12,21,0.571,0,0,0.0,9,11,0.818,2,6,8,13,2,0,2,2,33,31,0,2011-12,Regular
56,22011,2544,0021100070,"JAN 02, 2012",MIA vs. ATL,L,39,11,18,0.611,0,0,0.0,6,9,0.667,2,5,7,6,0,0,4,1,28,-1,0,2011-12,Regular
57,22011,2544,0021100059,"JAN 01, 2012",MIA vs. CHA,W,28,6,10,0.6,0,0,0.0,4,6,0.667,0,9,9,5,1,0,2,2,16,24,0,2011-12,Regular
58,22011,2544,0021100045,"DEC 30, 2011",MIA @ MIN,W,37,16,26,0.615,0,1,0.0,2,4,0.5,1,7,8,10,4,1,4,2,34,14,0,2011-12,Regular
59,22011,2544,0021100024,"DEC 28, 2011",MIA @ CHA,W,39,13,23,0.565,0,0,0.0,9,9,1.0,0,6,6,7,3,2,2,0,35,5,0,2011-12,Regular
60,22011,2544,0021100019,"DEC 27, 2011",MIA vs. BOS,W,36,9,14,0.643,0,0,0.0,8,9,0.889,1,5,6,5,2,1,3,3,26,-7,0,2011-12,Regular
61,22011,2544,0021100002,"DEC 25, 2011",MIA @ DAL,W,36,11,19,0.579,0,0,0.0,15,19,0.789,3,7,10,6,2,2,3,3,37,27,0,2011-12,Regular
0,42012,2544,0041200407,"JUN 20, 2013",MIA vs. SAS,W,45,12,23,0.522,5,10,0.5,8,8,1.0,3,9,12,4,2,0,2,2,37,8,1,2012-13,Playoffs
